iter	RMSE
0	14.04755233
1	13.13920746
2	12.26798954
3	11.56430401
4	10.90668318
5	10.32216968
6	9.762913129
7	9.294587721
8	8.853881642
9	8.525994453
10	8.16405694
11	7.879476863
12	7.598307562
13	7.352931282
14	7.13290009
15	6.913919273
16	6.756490982
17	6.583267415
18	6.443492165
19	6.292262683
20	6.180726581
21	6.067955104
22	5.982577637
23	5.911473324
24	5.8329106
25	5.776193128
26	5.715106397
27	5.66267845
28	5.609718248
29	5.5591288
30	5.514683222
31	5.486675211
32	5.447793824
33	5.419966436
34	5.388257939
35	5.349431312
36	5.321683838
37	5.299367626
38	5.283113604
39	5.262240835
40	5.23829754
41	5.222605355
42	5.210435005
43	5.197164029
44	5.175800495
45	5.16401099
46	5.143094074
47	5.126863498
48	5.120368698
49	5.102292667
50	5.092918153
51	5.078293711
52	5.068569714
53	5.04697914
54	5.031776093
55	5.024200164
56	4.996771554
57	4.98509173
58	4.96468258
59	4.944690546
60	4.940829234
61	4.933815291
62	4.926493088
63	4.90998149
64	4.900540772
65	4.884637145
66	4.874316482
67	4.86722129
68	4.861604275
69	4.847399937
70	4.841070827
71	4.831584735
72	4.824122247
73	4.814217485
74	4.810469329
75	4.806860278
76	4.797592681
77	4.785275575
78	4.777730257
79	4.768699551
80	4.75774168
81	4.749990897
82	4.740633648
83	4.73736167
84	4.729629158
85	4.716446372
86	4.711025168
87	4.697905068
88	4.689626133
89	4.685057084
90	4.673473244
91	4.671212641
92	4.661385587
93	4.655823971
94	4.645814352
95	4.640897261
96	4.631402504
97	4.624151418
98	4.623223363
99	4.609955002
100	4.603601516
101	4.589271265
102	4.583420953
103	4.578228595
104	4.574069984
105	4.562269827
106	4.558667842
107	4.552178639
108	4.551081833
109	4.547081322
110	4.53475524
111	4.533897287
112	4.517704451
113	4.513243207
114	4.501959593
115	4.496389586
116	4.492137838
117	4.475504109
118	4.462254738
119	4.453294343
120	4.443182742
121	4.436702421
122	4.42654794
123	4.420255751
124	4.411173339
125	4.406506566
126	4.402825566
127	4.393083957
128	4.380305045
129	4.370177055
130	4.36732926
131	4.35774353
132	4.355423452
133	4.343953867
134	4.340047739
135	4.324951385
136	4.31721788
137	4.301578067
138	4.291176814
139	4.290338556
140	4.289118776
141	4.288027956
142	4.280658597
143	4.271295451
144	4.256702267
145	4.251857057
146	4.24395229
147	4.235243998
148	4.223430999
149	4.22226399
150	4.216909738
151	4.206336032
152	4.194603252
153	4.190091588
154	4.181547232
155	4.180839725
156	4.166641578
157	4.154412177
158	4.147482885
159	4.146467271
160	4.145823238
161	4.137075915
162	4.126633999
163	4.126099669
164	4.111575483
165	4.10560643
166	4.097258565
167	4.085623536
168	4.077252891
169	4.071674041
170	4.063392109
171	4.056785674
172	4.052891919
173	4.052420368
174	4.039716412
175	4.029862848
176	4.029247058
177	4.024927818
178	4.018220788
179	4.012774349
180	4.005787437
181	4.000557122
182	3.997135016
183	3.995624971
184	3.984438782
185	3.972925484
186	3.966804221
187	3.960264577
188	3.959886989
189	3.952723386
190	3.95094703
191	3.944370394
192	3.941681317
193	3.93074652
194	3.921132055
195	3.915363093
196	3.909311481
197	3.897347105
198	3.891728762
199	3.887091839
200	3.876077207
201	3.875492003
202	3.870544976
203	3.869840711
204	3.863661787
205	3.857472753
206	3.846983583
207	3.839808182
208	3.828336922
209	3.822521456
210	3.818562441
211	3.807594172
212	3.805412985
213	3.801661714
214	3.793503637
215	3.786072027
216	3.780381343
217	3.774314312
218	3.767133471
