iter	Passed	Remaining
0	151	75832
1	154	38440
2	156	25891
3	157	19582
4	160	15864
5	162	13338
6	164	11562
7	166	10248
8	168	9207
9	171	8393
10	173	7696
11	175	7127
12	177	6630
13	178	6213
14	181	5862
15	182	5518
16	183	5218
17	185	4960
18	187	4739
19	188	4525
20	190	4341
21	192	4174
22	193	4007
23	194	3860
24	196	3738
25	198	3614
26	199	3501
27	200	3388
28	202	3286
29	204	3197
30	205	3108
31	206	3021
32	207	2941
33	209	2871
34	211	2812
35	212	2740
36	214	2684
37	215	2623
38	217	2571
39	218	2514
40	220	2469
41	222	2427
42	224	2380
43	225	2340
44	228	2309
45	229	2266
46	230	2223
47	232	2185
48	233	2147
49	234	2106
50	235	2069
51	236	2039
52	238	2007
53	239	1980
54	240	1948
55	241	1918
56	243	1892
57	244	1865
58	246	1842
59	247	1815
60	248	1788
61	249	1765
62	251	1743
63	252	1721
64	254	1703
65	255	1681
66	257	1663
67	258	1640
68	259	1620
69	260	1601
70	262	1583
71	263	1564
72	264	1545
73	265	1527
74	266	1509
75	267	1492
76	268	1475
77	270	1460
78	271	1444
79	272	1428
80	273	1412
81	273	1396
82	274	1381
83	275	1366
84	276	1351
85	277	1337
86	278	1323
87	279	1309
88	280	1296
89	281	1284
90	283	1272
91	284	1259
92	284	1246
93	285	1234
94	286	1221
95	287	1209
96	288	1197
97	288	1185
98	289	1173
99	290	1161
100	291	1150
101	291	1138
102	292	1127
103	293	1116
104	294	1106
105	294	1095
106	295	1085
107	296	1075
108	296	1065
109	297	1055
110	298	1045
111	299	1036
112	300	1027
113	300	1018
114	301	1008
115	302	999
116	302	991
117	303	982
118	304	974
119	305	966
120	306	958
121	306	950
122	307	942
123	308	934
124	308	926
125	309	918
126	310	911
127	311	903
128	311	896
129	312	889
130	313	882
131	314	875
132	314	868
133	315	861
134	316	855
135	317	848
136	317	841
137	318	835
138	319	828
139	319	822
140	320	816
141	321	809
142	321	803
143	322	797
144	323	792
145	324	786
146	324	780
147	325	774
148	326	768
149	327	763
150	327	757
151	328	751
152	329	746
153	329	740
154	330	736
155	331	731
156	332	726
157	333	721
158	333	715
159	334	710
160	334	705
161	335	700
162	336	695
163	336	690
164	337	685
165	338	680
166	339	676
167	339	671
168	340	666
169	341	661
170	341	657
171	342	652
172	343	648
173	344	644
174	345	640
175	345	636
176	346	632
177	347	628
178	348	624
179	348	620
180	349	616
181	350	612
182	351	608
183	351	604
184	352	600
185	353	597
186	354	593
187	355	589
188	356	585
189	356	582
190	357	578
191	358	574
192	358	570
193	359	567
194	360	563
195	361	560
196	361	556
197	362	552
198	363	549
199	363	545
200	364	542
201	365	539
202	366	536
203	367	532
204	367	529
205	368	526
206	369	522
207	370	519
208	370	516
209	371	513
210	372	509
211	373	506
212	373	503
213	374	500
214	375	497
215	376	494
216	377	491
217	377	488
218	378	485
219	379	483
220	380	480
221	381	477
222	381	474
223	382	471
224	383	468
225	384	465
226	384	462
227	385	459
228	386	457
229	387	454
230	388	451
231	388	449
232	389	446
233	390	443
234	390	440
235	391	438
236	392	435
237	393	432
238	393	430
239	394	427
240	395	425
241	396	422
242	397	419
243	397	417
244	398	414
245	399	412
246	400	409
247	400	407
248	401	404
249	402	402
250	403	399
251	403	397
252	404	395
253	405	392
254	406	390
255	406	387
256	407	385
257	408	383
258	409	380
259	409	378
260	410	375
261	411	373
262	411	371
263	412	368
264	413	366
265	414	364
266	414	361
267	415	359
268	416	357
269	416	355
270	417	352
271	418	350
272	419	348
273	420	346
274	420	344
275	421	342
276	422	339
277	423	337
278	423	335
279	424	333
280	425	331
281	425	329
282	426	327
283	427	324
284	427	322
285	428	320
286	429	318
287	430	316
288	430	314
289	431	312
290	432	310
291	433	308
292	433	306
293	434	304
294	435	302
295	436	300
296	437	298
297	437	296
298	438	294
299	439	292
300	439	290
301	440	288
302	441	287
303	442	285
304	443	283
305	443	281
306	444	279
307	445	277
308	445	275
309	446	273
310	447	271
311	448	270
312	449	268
313	449	266
314	450	264
315	451	262
316	452	261
317	452	259
318	453	257
319	454	255
320	455	253
321	456	252
322	457	250
323	457	248
324	458	246
325	459	245
326	460	243
327	461	241
328	462	240
329	462	238
330	463	236
331	464	234
332	465	233
333	465	231
334	466	229
335	467	228
336	468	226
337	468	224
338	469	223
339	470	221
340	470	219
341	471	217
342	472	216
343	472	214
344	473	212
345	474	211
346	475	209
347	475	207
348	476	206
349	477	204
350	477	202
351	478	201
352	479	199
353	480	198
354	481	196
355	481	194
356	482	193
357	482	191
358	483	189
359	484	188
360	484	186
361	485	185
362	486	183
363	486	181
364	487	180
365	488	178
366	488	177
367	489	175
368	490	173
369	490	172
370	491	170
371	492	169
372	492	167
373	493	166
374	494	164
375	494	163
376	495	161
377	496	160
378	496	158
379	497	157
380	498	155
381	498	154
382	499	152
383	499	151
384	500	149
385	501	148
386	501	146
387	502	145
388	503	143
389	503	142
390	504	140
391	505	139
392	505	137
393	506	136
394	507	134
395	507	133
396	508	131
397	509	130
398	510	129
399	510	127
400	511	126
401	512	124
402	512	123
403	513	121
404	514	120
405	514	119
406	515	117
407	515	116
408	516	114
409	517	113
410	517	112
411	518	110
412	518	109
413	519	107
414	520	106
415	520	105
416	521	103
417	521	102
418	522	101
419	523	99
420	523	98
421	524	96
422	525	95
423	525	94
424	526	92
425	527	91
426	527	90
427	528	88
428	528	87
429	529	86
430	530	84
431	530	83
432	531	82
433	531	80
434	532	79
435	533	78
436	533	76
437	534	75
438	535	74
439	535	73
440	536	71
441	537	70
442	537	69
443	538	67
